UT,UT_author,full_name,family_name,given_name,author_order
WOS:000988607500001,"WOS:000988607500001_Guarnieri, Eleonora","Guarnieri, Eleonora",Guarnieri,Eleonora,1
WOS:000988607500001,"WOS:000988607500001_Tur-Prats, Ana","Tur-Prats, Ana",Tur-Prats,Ana,2
WOS:000868979600001,"WOS:000868979600001_Smith, Matthew","Smith, Matthew",Smith,Matthew,1
WOS:000868979600001,"WOS:000868979600001_Zidar, Owen","Zidar, Owen",Zidar,Owen,2
WOS:000868979600001,"WOS:000868979600001_Zwick, Eric","Zwick, Eric",Zwick,Eric,3
WOS:000813226900001,"WOS:000813226900001_Cai, Jing","Cai, Jing",Cai,Jing,1
WOS:000813226900001,"WOS:000813226900001_Wang, Shing-Yi","Wang, Shing-Yi",Wang,Shing-Yi,2
WOS:000784752700001,"WOS:000784752700001_Adao, Rodrigo","Adao, Rodrigo",Adao,Rodrigo,1
WOS:000784752700001,"WOS:000784752700001_Carrillo, Paul","Carrillo, Paul",Carrillo,Paul,2
WOS:000784752700001,"WOS:000784752700001_Costinot, Arnaud","Costinot, Arnaud",Costinot,Arnaud,3
WOS:000784752700001,"WOS:000784752700001_Donaldson, Dave","Donaldson, Dave",Donaldson,Dave,4
WOS:000784752700001,"WOS:000784752700001_Pomeranz, Dina","Pomeranz, Dina",Pomeranz,Dina,5
WOS:000642334600003,"WOS:000642334600003_Gopinath, Gita","Gopinath, Gita",Gopinath,Gita,1
WOS:000642334600003,"WOS:000642334600003_Stein, Jeremy C.","Stein, Jeremy C.",Stein,Jeremy C.,2
WOS:000612198000011,"WOS:000612198000011_Kim, Ryan","Kim, Ryan",Kim,Ryan,1
WOS:000489163400003,"WOS:000489163400003_Allcott, Hunt","Allcott, Hunt",Allcott,Hunt,1
WOS:000489163400003,"WOS:000489163400003_Diamond, Rebecca","Diamond, Rebecca",Diamond,Rebecca,2
WOS:000489163400003,"WOS:000489163400003_Dube, Jean-Pierre","Dube, Jean-Pierre",Dube,Jean-Pierre,3
WOS:000489163400003,"WOS:000489163400003_Handbury, Jessie","Handbury, Jessie",Handbury,Jessie,4
WOS:000489163400003,"WOS:000489163400003_Rahkovsky, Ilya","Rahkovsky, Ilya",Rahkovsky,Ilya,5
WOS:000489163400003,"WOS:000489163400003_Schnell, Molly","Schnell, Molly",Schnell,Molly,6
WOS:000489161300005,"WOS:000489161300005_Chodorow-Reich, Gabriel","Chodorow-Reich, Gabriel",Chodorow-Reich,Gabriel,1
WOS:000489161300005,"WOS:000489161300005_Coglianese, John","Coglianese, John",Coglianese,John,2
WOS:000489161300005,"WOS:000489161300005_Karabarbounis, Loukas","Karabarbounis, Loukas",Karabarbounis,Loukas,3
WOS:000435871300001,"WOS:000435871300001_Piketty, Thomas","Piketty, Thomas",Piketty,Thomas,1
WOS:000435871300001,"WOS:000435871300001_Saez, Emmanuel","Saez, Emmanuel",Saez,Emmanuel,2
WOS:000435871300001,"WOS:000435871300001_Zucman, Gabriel","Zucman, Gabriel",Zucman,Gabriel,3
WOS:000423802600008,"WOS:000423802600008_Alsan, Marcella","Alsan, Marcella",Alsan,Marcella,1
WOS:000423802600008,"WOS:000423802600008_Wanamaker, Marianne","Wanamaker, Marianne",Wanamaker,Marianne,2
WOS:000412764300005,"WOS:000412764300005_Mian, Atif","Mian, Atif",Mian,Atif,1
WOS:000412764300005,"WOS:000412764300005_Sufi, Amir","Sufi, Amir",Sufi,Amir,2
WOS:000412764300005,"WOS:000412764300005_Verner, Emil","Verner, Emil",Verner,Emil,3
WOS:000406177000010,"WOS:000406177000010_Polborn, Mattias K.","Polborn, Mattias K.",Polborn,Mattias K.,1
WOS:000406177000010,"WOS:000406177000010_Snyder, James M., Jr.","Snyder, James M., Jr.",Snyder,James M. Jr.,2
WOS:000383326100010,"WOS:000383326100010_Barrot, Jean-Noel","Barrot, Jean-Noel",Barrot,Jean-Noel,1
WOS:000383326100010,"WOS:000383326100010_Sauvagnat, Julien","Sauvagnat, Julien",Sauvagnat,Julien,2
WOS:000383326100004,"WOS:000383326100004_Spiegler, Ran","Spiegler, Ran",Spiegler,Ran,1
WOS:000359638900007,"WOS:000359638900007_Bursztyn, Leonardo","Bursztyn, Leonardo",Bursztyn,Leonardo,1
WOS:000359638900007,"WOS:000359638900007_Jensen, Robert","Jensen, Robert",Jensen,Robert,2
WOS:000359638900008,"WOS:000359638900008_Gabaix, Xavier","Gabaix, Xavier",Gabaix,Xavier,1
WOS:000359638900008,"WOS:000359638900008_Maggiori, Matteo","Maggiori, Matteo",Maggiori,Matteo,2
WOS:000354733000001,"WOS:000354733000001_Michaillat, Pascal","Michaillat, Pascal",Michaillat,Pascal,1
WOS:000354733000001,"WOS:000354733000001_Saez, Emmanuel","Saez, Emmanuel",Saez,Emmanuel,2
WOS:000346660500004,"WOS:000346660500004_Dahl, Gordon B.","Dahl, Gordon B.",Dahl,Gordon B.,1
WOS:000346660500004,"WOS:000346660500004_Kostol, Andreas Ravndal","Kostol, Andreas Ravndal",Kostol,Andreas Ravndal,2
WOS:000346660500004,"WOS:000346660500004_Mogstad, Magne","Mogstad, Magne",Mogstad,Magne,3
WOS:000999692200001,"WOS:000999692200001_Beraja, Martin","Beraja, Martin",Beraja,Martin,1
WOS:000999692200001,"WOS:000999692200001_Kao, Andrew","Kao, Andrew",Kao,Andrew,2
WOS:000999692200001,"WOS:000999692200001_Yang, David Y.","Yang, David Y.",Yang,David Y.,3
WOS:000999692200001,"WOS:000999692200001_Yuchtman, Noam","Yuchtman, Noam",Yuchtman,Noam,4
WOS:000986383900001,"WOS:000986383900001_Korting, Christina","Korting, Christina",Korting,Christina,1
WOS:000986383900001,"WOS:000986383900001_Lieberman, Carl","Lieberman, Carl",Lieberman,Carl,2
WOS:000986383900001,"WOS:000986383900001_Matsudaira, Jordan","Matsudaira, Jordan",Matsudaira,Jordan,3
WOS:000986383900001,"WOS:000986383900001_Pei, Zhuan","Pei, Zhuan",Pei,Zhuan,4
WOS:000986383900001,"WOS:000986383900001_Shen, Yi","Shen, Yi",Shen,Yi,5
WOS:000743312400004,"WOS:000743312400004_Frydman, Cary","Frydman, Cary",Frydman,Cary,1
WOS:000743312400004,"WOS:000743312400004_Jin, Lawrence J.","Jin, Lawrence J.",Jin,Lawrence J.,2
WOS:000728439200002,"WOS:000728439200002_Lowes, Sara","Lowes, Sara",Lowes,Sara,1
WOS:000728439200002,"WOS:000728439200002_Montero, Eduardo","Montero, Eduardo",Montero,Eduardo,2
WOS:000612198000006,"WOS:000612198000006_Bryan, Gharad","Bryan, Gharad",Bryan,Gharad,1
WOS:000612198000006,"WOS:000612198000006_Choi, James J.","Choi, James J.",Choi,James J.,2
WOS:000612198000006,"WOS:000612198000006_Karlan, Dean","Karlan, Dean",Karlan,Dean,3
WOS:000612198000008,"WOS:000612198000008_Cameron, Lisa","Cameron, Lisa",Cameron,Lisa,1
WOS:000612198000008,"WOS:000612198000008_Seager, Jennifer","Seager, Jennifer",Seager,Jennifer,2
WOS:000612198000008,"WOS:000612198000008_Shah, Manisha","Shah, Manisha",Shah,Manisha,3
WOS:000612198000005,"WOS:000612198000005_Lian, Chen","Lian, Chen",Lian,Chen,1
WOS:000612198000005,"WOS:000612198000005_Ma, Yueran","Ma, Yueran",Ma,Yueran,2
WOS:000507362800004,"WOS:000507362800004_Coibion, Olivier","Coibion, Olivier",Coibion,Olivier,1
WOS:000507362800004,"WOS:000507362800004_Gorodnichenko, Yuriy","Gorodnichenko, Yuriy",Gorodnichenko,Yuriy,2
WOS:000507362800004,"WOS:000507362800004_Ropele, Tiziano","Ropele, Tiziano",Ropele,Tiziano,3
WOS:000489163400007,"WOS:000489163400007_DellaVigna, Stefano","DellaVigna, Stefano",DellaVigna,Stefano,1
WOS:000489163400007,"WOS:000489163400007_Gentzkow, Matthew","Gentzkow, Matthew",Gentzkow,Matthew,2
WOS:000451281400006,"WOS:000451281400006_Nakamura, Emi","Nakamura, Emi",Nakamura,Emi,1
WOS:000451281400006,"WOS:000451281400006_Steinsson, Jon","Steinsson, Jon",Steinsson,Jon,2
WOS:000451281400006,"WOS:000451281400006_Sun, Patrick","Sun, Patrick",Sun,Patrick,3
WOS:000451281400006,"WOS:000451281400006_Villar, Daniel","Villar, Daniel",Villar,Daniel,4
WOS:000423802600006,"WOS:000423802600006_Farhi, Emmanuel","Farhi, Emmanuel",Farhi,Emmanuel,1
WOS:000423802600006,"WOS:000423802600006_Maggiori, Matteo","Maggiori, Matteo",Maggiori,Matteo,2
WOS:000359638900002,"WOS:000359638900002_Augenblick, Ned","Augenblick, Ned",Augenblick,Ned,1
WOS:000359638900002,"WOS:000359638900002_Niederle, Muriel","Niederle, Muriel",Niederle,Muriel,2
WOS:000359638900002,"WOS:000359638900002_Sprenger, Charles","Sprenger, Charles",Sprenger,Charles,3
WOS:000359638900006,"WOS:000359638900006_Edelman, Benjamin","Edelman, Benjamin",Edelman,Benjamin,1
WOS:000359638900006,"WOS:000359638900006_Wright, Julian","Wright, Julian",Wright,Julian,2
WOS:000354733000006,"WOS:000354733000006_Aizer, Anna","Aizer, Anna",Aizer,Anna,1
WOS:000354733000006,"WOS:000354733000006_Doyle, Joseph J., Jr.","Doyle, Joseph J., Jr.",Doyle,Joseph J. Jr.,2
WOS:000346660500006,"WOS:000346660500006_Autor, David H.","Autor, David H.",Autor,David H.,1
WOS:000346660500006,"WOS:000346660500006_Dorn, David","Dorn, David",Dorn,David,2
WOS:000346660500006,"WOS:000346660500006_Hanson, Gordon H.","Hanson, Gordon H.",Hanson,Gordon H.,3
WOS:000346660500006,"WOS:000346660500006_Song, Jae","Song, Jae",Song,Jae,4
WOS:000346660500008,"WOS:000346660500008_Hjort, Jonas","Hjort, Jonas",Hjort,Jonas,1
WOS:000330451700007,"WOS:000330451700007_Kline, Patrick","Kline, Patrick",Kline,Patrick,1
WOS:000330451700007,"WOS:000330451700007_Moretti, Enrico","Moretti, Enrico",Moretti,Enrico,2
WOS:000642334600011,"WOS:000642334600011_Rose, Evan K.","Rose, Evan K.",Rose,Evan K.,1
WOS:000544015700001,"WOS:000544015700001_De Loecker, Jan","De Loecker, Jan",De Loecker,Jan,1
WOS:000544015700001,"WOS:000544015700001_Eeckhout, Jan","Eeckhout, Jan",Eeckhout,Jan,2
WOS:000544015700001,"WOS:000544015700001_Unger, Gabriel","Unger, Gabriel",Unger,Gabriel,3
WOS:000451281400010,"WOS:000451281400010_Shi, Shouyong","Shi, Shouyong",Shi,Shouyong,1
WOS:000451281400010,"WOS:000451281400010_Delacroix, Alain","Delacroix, Alain",Delacroix,Alain,2
WOS:000412764300002,"WOS:000412764300002_Deming, David J.","Deming, David J.",Deming,David J.,1
WOS:000412764300006,"WOS:000412764300006_Drechsler, Itamar","Drechsler, Itamar",Drechsler,Itamar,1
WOS:000412764300006,"WOS:000412764300006_Savov, Alexi","Savov, Alexi",Savov,Alexi,2
WOS:000412764300006,"WOS:000412764300006_Schnabl, Philipp","Schnabl, Philipp",Schnabl,Philipp,3
WOS:000412764300010,"WOS:000412764300010_Larcom, Shaun","Larcom, Shaun",Larcom,Shaun,1
WOS:000412764300010,"WOS:000412764300010_Rauch, Ferdinand","Rauch, Ferdinand",Rauch,Ferdinand,2
WOS:000412764300010,"WOS:000412764300010_Willems, Tim","Willems, Tim",Willems,Tim,3
WOS:000401981500008,"WOS:000401981500008_Cravino, Javier","Cravino, Javier",Cravino,Javier,1
WOS:000401981500008,"WOS:000401981500008_Levchenko, Andrei A.","Levchenko, Andrei A.",Levchenko,Andrei A.,2
WOS:000388576700008,"WOS:000388576700008_Belloc, Marianna","Belloc, Marianna",Belloc,Marianna,1
WOS:000388576700008,"WOS:000388576700008_Drago, Francesco","Drago, Francesco",Drago,Francesco,2
WOS:000388576700008,"WOS:000388576700008_Galbiati, Roberto","Galbiati, Roberto",Galbiati,Roberto,3
WOS:000365535400005,"WOS:000365535400005_Akerman, Anders","Akerman, Anders",Akerman,Anders,1
WOS:000365535400005,"WOS:000365535400005_Gaarder, Ingvil","Gaarder, Ingvil",Gaarder,Ingvil,2
WOS:000365535400005,"WOS:000365535400005_Mogstad, Magne","Mogstad, Magne",Mogstad,Magne,3
WOS:000359638900001,"WOS:000359638900001_Muralidharan, Karthik","Muralidharan, Karthik",Muralidharan,Karthik,1
WOS:000359638900001,"WOS:000359638900001_Sundararaman, Venkatesh","Sundararaman, Venkatesh",Sundararaman,Venkatesh,2
WOS:000342236000007,"WOS:000342236000007_Fryer, Roland G., Jr.","Fryer, Roland G., Jr.",Fryer,Roland G. Jr.,1
WOS:000330451700009,"WOS:000330451700009_Cascio, Elizabeth U.","Cascio, Elizabeth U.",Cascio,Elizabeth U.,1
WOS:000330451700009,"WOS:000330451700009_Washington, Ebonya","Washington, Ebonya",Washington,Ebonya,2
WOS:000330451700003,"WOS:000330451700003_Kuziemko, Ilyana","Kuziemko, Ilyana",Kuziemko,Ilyana,1
WOS:000330451700003,"WOS:000330451700003_Buell, Ryan W.","Buell, Ryan W.",Buell,Ryan W.,2
WOS:000330451700003,"WOS:000330451700003_Reich, Taly","Reich, Taly",Reich,Taly,3
WOS:000330451700003,"WOS:000330451700003_Norton, Michael I.","Norton, Michael I.",Norton,Michael I.,4
WOS:000763961400001,"WOS:000763961400001_Alpert, Abby","Alpert, Abby",Alpert,Abby,1
